Time [s],Value,Parity Error,Framing Error
1.175499791666667,0xFF,,
6.177028125000000,0x7E,,
6.178068458333334,0x00,,
6.179108750000000,0x7D,,
6.180149083333333,0x31,,
6.181189375000000,0x17,,
6.182229708333334,0x01,,
6.183270000000000,0x00,,
6.184310333333333,0x00,,
6.185350625000000,0x00,,
6.186390958333333,0x00,,
6.187431250000000,0x00,,
6.188471583333333,0x00,,
6.189511875000000,0xFF,,
6.190552208333333,0xFF,,
6.191592500000000,0xFF,,
6.192632833333334,0xFE,,
6.193673125000000,0x02,,
6.194713458333333,0x49,,
6.195753750000000,0x52,,
6.196794083333334,0xFF,,
6.197834375000000,0xFF,,
6.198874708333333,0x51,,
7.177627416666667,0x7E,,
7.178667708333333,0x00,,
7.179708041666666,0x10,,
7.180748333333334,0x17,,
7.181788666666667,0x01,,
7.182828958333333,0x00,,
7.183869291666666,0x00,,
7.184909583333333,0x00,,
7.185949916666667,0x00,,
7.186990208333333,0x00,,
7.188030541666667,0x00,,
7.189070833333333,0xFF,,
7.190111166666667,0xFF,,
7.191151458333334,0xFF,,
7.192191791666667,0xFE,,
7.193232083333333,0x02,,
7.194272416666666,0x44,,
7.195312708333334,0x30,,
7.196353041666667,0x04,,
7.197393333333333,0x72,,
8.178200708333334,0x7E,,
8.179240999999999,0x00,,
8.180281333333333,0x10,,
8.181321625000001,0x17,,
8.182361958333333,0x01,,
8.183402250000000,0x00,,
8.184442583333333,0x00,,
8.185482875000000,0x00,,
8.186523208333334,0x00,,
8.187563500000000,0x00,,
8.188603833333334,0x00,,
8.189644124999999,0xFF,,
8.190684458333333,0xFF,,
8.191724750000001,0xFF,,
8.192765083333333,0xFE,,
8.193805375000000,0x02,,
8.194845708333334,0x44,,
8.195886000000000,0x30,,
8.196926333333334,0x05,,
8.197966624999999,0x71,,
9.178760958333333,0x7E,,
9.179801250000001,0x00,,
9.180841583333333,0x10,,
9.181881875000000,0x17,,
9.182922208333334,0x01,,
9.183962500000000,0x00,,
9.185002833333334,0x00,,
9.186043124999999,0x00,,
9.187083458333333,0x00,,
9.188123750000001,0x00,,
9.189164083333333,0x00,,
9.190204375000000,0xFF,,
9.191244708333333,0xFF,,
9.192285000000000,0xFF,,
9.193325333333334,0xFE,,
9.194365625000000,0x02,,
9.195405958333334,0x44,,
9.196446249999999,0x30,,
9.197486583333333,0x04,,
9.198526875000001,0x72,,
10.179334250000000,0x7E,,
10.180374583333334,0x00,,
10.181414875000000,0x10,,
10.182455208333334,0x17,,
10.183495499999999,0x01,,
10.184535833333333,0x00,,
10.185576125000001,0x00,,
10.186616458333333,0x00,,
10.187656750000000,0x00,,
10.188697083333333,0x00,,
10.189737375000000,0x00,,
10.190777708333334,0xFF,,
10.191818000000000,0xFF,,
10.192858333333334,0xFF,,
10.193898624999999,0xFE,,
10.194938958333333,0x02,,
10.195979250000001,0x44,,
10.197019583333333,0x30,,
10.198059875000000,0x05,,
10.199100208333334,0x71,,
11.179907541666667,0x7E,,
11.180947874999999,0x00,,
11.181988166666667,0x10,,
11.183028500000001,0x17,,
11.184068791666666,0x01,,
11.185109125000000,0x00,,
11.186149416666666,0x00,,
11.187189750000000,0x00,,
11.188230041666667,0x00,,
11.189270375000000,0x00,,
11.190310666666667,0x00,,
11.191350999999999,0xFF,,
11.192391291666667,0xFF,,
11.193431625000001,0xFF,,
11.194471916666666,0xFE,,
11.195512250000000,0x02,,
11.196552541666666,0x44,,
11.197592875000000,0x30,,
11.198633166666667,0x04,,
11.199673499999999,0x72,,
12.180480791666668,0x7E,,
12.181521083333333,0x00,,
12.182561416666667,0x10,,
12.183601708333333,0x17,,
12.184642041666667,0x01,,
12.185682333333334,0x00,,
12.186722666666666,0x00,,
12.187762958333334,0x00,,
12.188803291666666,0x00,,
12.189843583333333,0x00,,
12.190883916666667,0x00,,
12.191924208333333,0xFF,,
12.192964541666667,0xFF,,
12.194004833333333,0xFF,,
12.195045166666667,0xFE,,
12.196085458333334,0x02,,
12.197125791666666,0x44,,
12.198166083333334,0x30,,
12.199206416666666,0x05,,
12.200246708333333,0x71,,
13.181066749999999,0x7E,,
13.182107083333333,0x00,,
13.183147375000001,0x10,,
13.184187708333333,0x17,,
13.185228000000000,0x01,,
13.186268333333333,0x00,,
13.187308625000000,0x00,,
13.188348958333334,0x00,,
13.189389250000000,0x00,,
13.190429583333334,0x00,,
13.191469874999999,0x00,,
13.192510208333333,0xFF,,
13.193550500000001,0xFF,,
